molecule,solvent,label
CC1=CC(/C=C/C2=CC(OC)=C(N(CC)CC)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(CC)CC)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,669
CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,666
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,709
CC1=CC(/C=C/C2=CC(Cl)=C(O)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3)C1=C4C5=CC=C(C(OCC)=O)C=C5,CCO,631
CC1=CC(/C=C/C2=CC(Cl)=C(O)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3)C1=C4C5=CC=C(C(OCC)=O)C=C5,O,602
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,726
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,698
CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,682
CC1=CC(/C=C/C2=CC(OC)=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C(OC)=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,O,662
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CC[N+](C)(CCCS(=O)([O-])=O)C)(C#CC[N+](C)(CCCS(=O)([O-])=O)C)N3C4=C(C)C=C3/C=C/C5=CC=C(N(C)C)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,677
